match	sentence	collection	author	title	textClass	bibl	date
umfaßte	Daß dieser Rechtssatzbegriff den Bereich des objektiven Rechts nicht umfaßte , sondern 'historisch-konventionell' verengte , war offensichtlich .	kern	Böckenförde, Ernst-Wolfgang	Die Organisationsgewalt im Bereich der Regierung	Wissenschaft::Rechtswissenschaft	Böckenförde, Ernst-Wolfgang: Die Organisationsgewalt im Bereich der Regierung, Berlin: Duncker u. Humblot 1964, S. #page#	1964-12-31
gestattet	Er gestattet Russen wie Amerikanern den Aufbau von je zwei Abwehrsystemen , eines zum Schutz der Hauptstadt und eines zur Verteidigung einer Raketenstation .	kern	a.	ABM-Vertrag	Gebrauchsliteratur::Aktuelles Lexikon	o. A. [a.]: ABM-Vertrag. In: Aktuelles Lexikon 1974-2000, München: DIZ 2000 [1985]	1985-02-05
aß	"Im Hotel "" Am Markt "" aß die Frau des Generals aus Hamburg ."	kern	Fichte, Hubert	Das Waisenhaus	Belletristik::Roman	Fichte, Hubert: Das Waisenhaus, Frankfurt a. M.: Fischer-Taschenbuch-Verl. 1988 [1965], S. #page#	1965-12-31
ausgeschlossen	Falls nicht Kriege es verhinderten , fand alle 4 Jahre ein Hauptt . statt , bei dem sich die Ritterbünde zu den Landsmannschaften » am Rheinstrom « , » von Schwaben « , » von Franken « und » von Bayern « zusammenschlossen ( die Hessen 1403 wegen schwerer T.vergehen für immer ausgeschlossen ) .	kern	unknown	Lexikon der Kunst - T	Wissenschaft	o. A.: Lexikon der Kunst - T. In: Olbrich, Harald (Hg.), Lexikon der Kunst, Berlin: Directmedia Publ. 2001 [1994], S. #page#	1994-12-31
diskutieren	Aber ich weiß gar nicht , was ich diskutieren soll .	kern	Merian, Svende	Der Tod des Märchenprinzen	Belletristik	Merian, Svende: Der Tod des Märchenprinzen, Hamburg: Buntbuch-Verl. 1980 [1980], S. #page#	1980-12-31
liefern	Forellenbäche liefern vom September an schon dem Züchter die laichfähigen Exemplare .	kern	unknown		Gebrauchsliteratur::Zeitung	o. A.: o. T. [Der Beginn des ...] In: Praktischer Wegweiser, 01.10.1925, S. #page#	1925-10-01
verlassen	Sie werden auch niemals Ihre Wohnung und Ihr Zimmer so wiederfinden , wie Sie es verlassen haben .	kern	Jens, Walter	Nein	Belletristik::Roman	Jens, Walter: Nein, München: Piper 1968 [1950], S. #page#	1950-12-31
führt	""" Wie die Praxis zeigt , führt der Weg der teilweisen Maßnahmen , die darüber hinaus auch auf separater Grundlage getroffen werden , zu keiner Lösung des Nahostproblems ( hierzu siehe 19678 C , 19767 G ) ."	kern	unknown	UdSSR für Wiederaufnahme der Genfer Nahost-Konferenz	Zeitung::SOWJETUNION. VEREINIGTE STAATEN. NAHOST.	Archiv der Gegenwart, 2001 [1975]	1975-11-10
steigern	Sie reden zusammen , einer nimmt den Satz des andern auf , die Stimmen steigern sich zu einem glücklichen Kreischen .	kern	Rasp, Renate	Ein ungeratener Sohn	Belletristik::Roman	Rasp, Renate: Ein ungeratener Sohn, Köln: Kiepenheuer & Witsch 1967, S. #page#	1967-12-31
aufgeführt	Seine Christus-Oper I am the Way ( 1969 ) wurde an mehreren amerikan. Bühnen aufgeführt .	kern	Fath, Rolf	Reclams Lexikon der Opernwelt - Personen H	Wissenschaft::Musikwissenschaft	Fath, Rolf: Personen - H. In: Reclams Opernlexikon, Berlin: Directmedia Publ. 2001 [1998], S. #page#	1998-12-31
schimpfen	Dinge , über die er nicht schimpfen und krakeelen konnte , mochte er nicht .	kern	Matthiessen, Wilhelm	Das Rote U	Belletristik::Roman	Matthiessen, Wilhelm: Das Rote U. In: ders., Das Rote U, Bayreuth: Loewes 1980 [1932], S. #page#	1932-12-31
belastet	Der Direktor der Bundessicherheitskräfte ( FSF ) , Masud MAHMOOD , belastet BHUTTO vor Gericht schwer : er sei als Befehlshaber der 30000 Mann starken paramilitärischen Streitmacht von dem früheren Premier vornehmlich zur Unterdrückung der Opposition eingesetzt worden ; BHUTTO habe ihn mit der Ermordung des damaligen Abgeordnetten Ahmed Raza KASURI beauftragt ; es sollte ein Überfall vorgetäuscht werden , dem dann freilich nicht KASURI , sondern dessen Vater M. A. KHAN zum Opfer fiel ( nachstehend Abschnitt 9 ) - in einem anderen Fall habe BHUTTO die Einweisung zweier Provinzminister seiner eigenen Partei , Iftikhar Ahmed TARI und Chaudry IRSHAD , in ein Konzentrationslager ( das erst nach dem Sturz des Premiers im pakistanischen Teil Kaschmirs entdeckt wurde ) veranlaßt .	kern	unknown	Fortgang der innenpolitischen Ereignisse: Ziaul Huq verschärft Kriegsrechtsbestimmungen im Sinne des Islam, verurteilt Bhutto zum Tode	Zeitung::PAKISTAN.	Archiv der Gegenwart, 2001 [1978]	1978-05-01
wechselte	Man ließ es den Wagen also nur so weit ziehen , wie seine Kraft ausreichte ; dann wechselte man die Pferde .	kern	Rhein, Eduard	Du und die Elektrizität	Gebrauchsliteratur	Rhein, Eduard: Du und die Elektrizität, Berlin: Ullstein 1956 [1940], S. #page#	1940-12-31
ziehen	Als nach der letzten Niederlage viele Mannschaften sich in die Festung flüchteten , hielt Becker am Tor eine Ansprache und warnte vor der » Mausefalle « , was etwa tausend Mann bewog , weiter zu ziehen .	kern	Blos, Wilhelm	Denkwürdigkeiten eines Sozialdemokraten	Gebrauchsliteratur::Autobiographien	Blos, Wilhelm: Denkwürdigkeiten eines Sozialdemokraten, Bd. 1. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1914], S. #page#	1914-12-31
regnete	Wenn einer der Herren Verteidiger gesagt hat : die Zündschnur hätte sich in Rüdesheim entzündet , sie wäre mithin auch auf dem Niederwald noch explosionsfähig gewesen , dann erwidere ich : am 28. September regnete es nicht , und die Zündschnur konnte mithin bis zum Abend wohl trocken sein .	kern	Friedländer, Hugo	Das Dynamit-Attentat bei der Enthüllungsfeier des Niederwald-Denkmals	Gebrauchsliteratur	Friedländer, Hugo: Das Dynamit-Attentat bei der Enthüllungsfeier des Niederwald-Denkmals. In: ders., Interessante Kriminal-Prozesse, Berlin: Directmedia Publ. 2001 [1911], S. #page#	1911-12-31
angekettet	Vordem aber schien es unermeßlich groß ; angekettet an ein Strohlager , ohne die Fessel zu sehen , hatte Caspar niemals den Fleck Erde verlassen , auf dem er traumlos schlief , traumlos wachte .	kern	Wassermann, Jakob	Caspar Hauser oder Die Trägheit des Herzens	Belletristik	Wassermann, Jakob: Caspar Hauser, Berlin: Aufbau-Verl. 1987 [1908], S. #page#	1908-12-31
gekommen	Keiner solle fragen , wie jener zu Tode gekommen .	kern	Weismantel, Leo	Die höllische Trinität	Belletristik	Weismantel, Leo: Die höllische Trinität, Berlin: Union-Verl.1966 [1943], S. #page#	1943-12-31
gelautet	"Die letzten nachrichtendienstlichen Berichte vor der Abreise des Kanzlers hätten jedoch gelautet , es gebe , "" keine bedrohliche militärische "" Veränderung in Osteuropa ."	kern	unknown	Treffen Schmidt--Honecker	Zeitung::BUNDESREPUBLIK DEUTSCHLAND. DEUTSCHE DEMOKRATISCHE REPUBLIK.	Archiv der Gegenwart, 2001 [1981]	1981-12-18
bewilligt	Das Preußische Staatsministerium hat soeben dem Staatsrat einen Gesetzentwurf zugehen lassen , nach dem 5 Millionen Mark für Landgewinnungsarbeiten an der Nordseeküste in den Regierungsbezirken Schleswig und Aurich bewilligt werden sollen .	kern	unknown	Dem Meer soll Land abgerungen werden	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 03.03.1927	1927-03-03
abgegeben	Die Übersetzung , die ich bezüglich dieser Einsatzgruppen hörte , war , daß keine Erklärung an den Führer abgegeben wurde .	kern	unknown	Einhundertsechsundvierzigster Tag. Dienstag, 4. Juni 1946	Gebrauchsliteratur	o. A.: Einhundertsechsundvierzigster Tag. Dienstag, 4. Juni 1946. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1946], S. #page#	1946-06-04
machte	Goebbels machte eines Tages diesen rechtlichen Begriff zum Gegenstand seiner Propaganda .	kern	unknown	Sechsunddreißigster Tag. Donnerstag, 17. Januar 1947.	Gebrauchsliteratur	o. A.: Sechsunddreißigster Tag. Donnerstag, 17. Januar 1947. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1947], S. #page#	1947-01-17
gegenüberzusetzen	Es gibt keine andere Möglichkeit , als der Beharrlichkeit des Gastes die eigene gegenüberzusetzen .	kern		Die Hygiene der Schulbank	Gebrauchsliteratur	Weber, Annemarie (Hg.), Die Hygiene der Schulbank, Wiesbaden: Falken-Verl. 1955, S. #page#	1955-12-31
festzusetzen	-- Der Tag der Abstimmung ist auf einen Sonntag oder einen anderen öffentlichen Ruhetag festzusetzen .	kern	unknown	Innenpolitik. Verfassung. Wahlen.	Zeitung::ÖSTERREICH.	Archiv der Gegenwart, 2001 [1952]	1952-03-03
paßt	"Hier paßt die Lehre nicht her . """	kern	Grimm, Hans	Volk ohne Raum	Belletristik::Roman	Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. #page#	1926-12-31
angedeihen	Er tritt auf den Plan als Verteidiger von Treubruch und Meuchelmördern ; es ist keine Totsünde , der er seinen frivolen Schutz nicht angedeihen lässt .	kern	unknown	Deutsche Worte	Zeitung	Nordwestdeutsche Zeitung, 02.08.1914	1914-08-02
aufgefordert	Die Mitgliedsregierungen werden aufgefordert , ihre Bemühungen zur Verminderung der bestehenden Beschränkungen des internationalen Handels zwecks seiner Ausweitung fortzusetzen .	kern	unknown	Übersicht über die 12. Session der Vollversammlung vom 17. September bis 14. Dezember 1957	Zeitung::VEREINTE NATIONEN.	Archiv der Gegenwart, 2001 [1958]	1958-01-01
meine	Ich meine jetzt die Farbe muß doch entsprechen .	kern	unknown	Brief von Ernst G. an Irene G.	Gebrauchsliteratur::Politik	Brief von Ernst G. an Irene G. vom 27.11.1939, Feldpost-Archive mkb-fp-0270	1939-11-27
herbeiführen	Herr von Neurath hoffte und glaubte , auf Grund des Erlasses vom 15 März ein vernünftiges und friedliches Zusammenleben von Deutschen und Tschechen im Protektorat herbeiführen zu können .	kern	unknown	Einhundertelfter Tag. Donnerstag, 18. April 1946	Gebrauchsliteratur	o. A.: Einhundertelfter Tag. Donnerstag, 18. April 1946. In: Der Nürnberger Prozeß, Berlin: Directmedia Publ. 1999 [1946], S. #page#	1946-04-18
gesehn	... ich sah fenster .... herrschaften mauern hab ich gesehn .... mauern sag ich euch -	kern	Wiener, Oswald	Die Verbesserung von Mitteleuropa, Roman	Belletristik	Wiener, Oswald: Die Verbesserung von Mitteleuropa, Roman, Reinbek bei Hamburg: Rowohlt 1969 [1969], S. #page#	1969-12-31
gepflückt	Von den Nichten , der großen und den kleinen , wurden jetzt im Garten viel Beeren zum Einmachen und Saftkochen gepflückt .	kern	Busch, Wilhelm	Brief von Brief von Wilhelm Busch an Letty Keßler	Belletristik	Brief von Wilhelm Busch an Letty Keßler vom 05.08.1907. In: ders., Gesammelte Werke, Berlin: Directmedia Publ. 2002 [1907], S. #page#	1907-08-05
gewählt	Daß die Sozialdemokraten ihre Parteigenossen vorziehen als Kassenbeamten , wenn sie wirklich tüchtig sind , ist menschlich verständlich , aber es werden vielfach Leute gewählt , die nicht lesen und schreiben können .	kern	unknown	Deutscher Reichstag	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 04.03.1905	1905-03-04
geholfen	Gewiß , es mußte geholfen werden , er mußte helfen .	kern	Braun, Lily	Lebenssucher	Belletristik	Braun, Lily: Lebenssucher. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1915], S. #page#	1915-12-31
gehört	Der Gutsbezirk S. ist fürstl. Bismarcksche Fideikommißherrschaft ( 75 qkm , 802 E. ) , wozu der Sachsenwald ( s. d. ) gehört ; Sitz der Verwaltung Friedrichsruh .	kern	unknown	S	Gebrauchsliteratur::Nachschlagewerk	o. A.: S. In: Brockhaus' Kleines Konversations-Lexikon, Berlin: Directmedia Publ. 2001 [1906], S. #page#	1906-12-31
liegt	In diesem Versuch , jeweils die , für den Moment , größtmögliche Ganzheit zu erleben und zu leben , liegt das Ziel der Psychotherapie nach Jung .	kern	Verena Kast	Analytische Psychologie	Wissenschaft	Kast, Verena: Analytische Psychologie. In: Asanger, Roland u. Wenninger, Gerd (Hgg.) Handwörterbuch Psychologie, Berlin: Directmedia Publ. 2000 [1980], S. #page#	1980-12-31
nennen	Seit Ende November bohren schwere Maschinen ein Loch in ein Gebilde , das Norddeutsche einen Berg , Allgäuer aber einen Hügel nennen würden .	kern	Thomas Kleine-Brockhoff		Zeitung::WIRT	Die Zeit, 23.02.1996, Nr. 9	1996-02-23
geboren	Am 20. Juni 1905 in New Orleans als Tochter eines deutsch-jüdischen Einwanderers und einer reichen Südstaatlerin geboren , ist sie später Dramatikerin , Film-Autorin , Reporterin und Schriftstellerin .	kern	Ruth-Esther Geiger	Verfrühter Antifaschismus	Zeitung	konkret, 2000 [1989]	1989-12-31
tagte	Der Rat der EG tagte am 17. Dezember auf der Ebene der Arbeitsminister in Brüssel .	kern	unknown	Konferenz über Zukunftsmöglichkeiten einer europäischen Soziaipolitik und Tagung des Rates auf der Ebene der Arbeitsminister	Zeitung::EUROPÄISCHE GEMEINSCHAFTEN DER NEUN.	Archiv der Gegenwart, 2001 [1974]	1974-12-30
durcheilt	Die Herren haben zu reisen , wie er selbst jetzt die Länder durcheilt :	kern	Klepper, Jochen	Der Vater	Belletristik	Klepper, Jochen: Der Vater, Gütersloh: Bertelsmann 1962 [1937], S. #page#	1937-12-31
überführen	Endlich fand Emil Fischer , daß auch die Chlorhydrate der Aminosäuren selbst sich mit Phosphorpentachlorid in die Aminosäure-chloride überführen lassen , wenn man als Lösungsmittel Azetylchlorid benützt .	kern	Langenbeck, Wolfgang	Lehrbuch der Organischen Chemie	Wissenschaft::Chemie	Langenbeck, Wolfgang: Lehrbuch der Organischen Chemie, Dresden: Steinkopff 1938, S. #page#	1938-12-31
sitzen	Gleich die ersten Schüsse sollen , dank dem Rechenverfahren des Kommandogeräts , im Ziel sitzen .	kern	unknown	Flakartillerie.	Zeitung::KRIEGSWESEN.	Archiv der Gegenwart, 2001 [1937]	1937-10-12
gestorben	Die Fried-Passage war von mir , der Gedanke an den armen Krüppel , der ein paar Wochen vorher an Krebs gestorben war , hatte mich wie ein zänkischer Blitz durchfahren , eine haltlose Eingebung , nichts weiter .	kern	Biller, Maxim	Wenn ich einmal reich und tot bin	Belletristik	Biller, Maxim: Wenn ich einmal reich und tot bin. In: ders., Wenn ich einmal reich und tot bin, Köln: Kiepenheuer & Witsch 1990, S. #page#	1990-12-31
ausschüttete	Das Wimmern und Heulen der Kleinen erstickte der Sturm , der nun losbrach , und der Regen , den er über sie ausschüttete .	kern	Welk, Ehm	Die Heiden von Kummerow	Belletristik	Welk, Ehm: Die Heiden von Kummerow, Rostock: Hirnstorff 1978 [1937], S. #page#	1937-12-31
gesandt	Peter Locher , von Külsheim , saß im Bundesrat des fränkischen Bauernheeres zu Würzburg und wurde als Abgeordneter nach Heilbronn gesandt , um im dort zusammengetretenen Bauernparlament für das Zustandekommen der von Wendel Hipler entworfenen Reichsverfassung zu wirken .	kern	Blos, Wilhelm	Denkwürdigkeiten eines Sozialdemokraten	Gebrauchsliteratur::Autobiographien	Blos, Wilhelm: Denkwürdigkeiten eines Sozialdemokraten, Bd. 2. In: Simons, Oliver (Hg.) Deutsche Autobiographien 1690-1930, Berlin: Directmedia Publ. 2004 [1919], S. #page#	1919-12-31
verhindert	Das Feld oben links zeigt , wie Gewißheit und bloßes Vermuten zu unterschiedlichem Verhalten führen , das Feld oben rechts , wie überreizte Einbildungskraft in bestimmten , der unmittelbaren Reaktion besonders förderlichen Situationen zu extremer Furcht und nachfolgend falschen Schlüssen Anlaß geben kann ; die Furcht verhindert in solchen Fällen die Überprüfung des sie auslösenden Momentes .	kern	Busch, Werner	Das sentimentalische Bild	Wissenschaft	Busch, Werner: Das sentimentalische Bild, München: Beck 1993, S. #page#	1993-12-31
folgte	Bei diesen Spazierritten , die entweder in die Richtung der Ebene von Suedja oder auf der anderen Seite über Azir , Bitias nach dem Bienendorf unternommen wurden , folgte ihnen der Stallknecht , für den Juliette eine malerische Tracht entworfen hatte .	kern	Werfel, Franz	Die Vierzig Tage des Musa Dagh I	Belletristik::Roman	Werfel, Franz: Die Vierzig Tage des Musa Dagh I, Stockholm: Bermann - Fischer 1947 [1933], S. #page#	1933-12-31
kämpfen	"Andererseits haben wir zum ersten Mal in der Geschichte nicht nur darauf verzichtet , gegeneinander zu kämpfen , sondern wir sind uns auch darüber einig , was zu tun ist , ob es sich nun darum handelt , den Entwicklungsländern beizustehen oder die osteuropäischen Völker zu ermutigen , ihre Unabhängigkeit wiederzufinden . """	kern	unknown	Arbeitsbesuch de Gaulles in Bonn; kritischer Kommentar von Le Monde	Zeitung::FRANKREICH. DEUTSCHLAND (WEST-).	Archiv der Gegenwart, 2001 [1964]	1964-07-04
brauchen	"Ja , sie brauchen nicht einmal vorher zu sagen : heute speisen wir hier , oder heute nicht . """	kern	Zepler, Marg. R.	Feuilleton.	Zeitung::Morgen-Ausgabe	Vossische Zeitung (Morgen-Ausgabe), 05.03.1903	1903-03-05
zeichnet	Die Geschichte der Julikrise von 1914 zeichnet sich durch die Entschiedenheit aus , mit der sie als Konsequenz der in sie hineinführenden Machtbestrebungen der beteiligten Mächte in wirklich geschichtlichem Sinne behandelt und einer ungebührlichen Isolierung von ihren tieferen Voraussetzungen entzogen ist .	kern		Jahresberichte für deutsche Geschichte	Wissenschaft::Geschichte	Jahresberichte für deutsche Geschichte, 1927, S. #page#	1927-12-31
riechen	Sie sind strähnig , dabei stark onduliert , und man glaubt , Versengtes zu riechen .	kern	Greßhöner, Marie	Mehlgast	Belletristik	Greßhöner, Marie: Mehlgast. In: Kesten, Hermann (Hg.) 24 neue deutsche Erzähler, Leipzig u. a.: Kiepenheuer 1983 [1929], S. #page#	1929-12-31
gedachte	Der Mendoza aber begann muntere und scherzhafte Reden zu führen , mit denen er den Grumbach zu erheitern gedachte .	kern	Perutz, Leo	Die dritte Kugel	Belletristik::Roman	Perutz, Leo: Die dritte Kugel, Reinbek bei Hamburg: Rowohlt 1988 [1915], S. #page#	1915-12-31
eingeht	Woher soll er denn die vierzigtausend Taler nehmen , die er so dringend braucht , wenn er nicht auf meinen Vorschlag eingeht , sie vom Adel einzuziehen ?	kern	Klepper, Jochen	Der Vater	Belletristik	Klepper, Jochen: Der Vater, Gütersloh: Bertelsmann 1962 [1937], S. #page#	1937-12-31
blieben	Die Phalanx ist immer das Rückgrat der griechischen Heere geblieben , und alle anderen Waffengattungen , so große Fortschritte sie auch machten , blieben Hilfswaffen .	kern	Delbrück, Hans	Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum	Wissenschaft	Delbrück, Hans: Geschichte der Kriegskunst im Rahmen der politischen Geschichte - Erster Teil: Das Altertum, Berlin: Directmedia Publ. 2002 [1920], S. #page#	1920-12-31
sang	"Marina Ursica mit der Klavierbegleitung von Hanna Genna sang einen Chanson "" Die Verkäuferin "" , der die Duldsamkeit einer Verkäuferin ihren Kunden gegenüber in tragischkomischer Form zum Ausdruck brachte ."	kern	Rg.	Bunter Abend in Spandau	Zeitung::Berliner Ausgabe	Völkischer Beobachter (Berliner Ausgabe), 03.03.1936	1936-03-03
anpaßte	Jedenfalls kamen in ihr die offen zutage liegenden wie die unterirdischen Kräfte , welche die Judenfrage in das Zentrum der politischen Konstellationen getrieben haben , zum ersten Male wirklich zum Ausbruch ; andererseits kam dieser Ausbruch so früh , daß der französische Antisemitisumus , der als Volksstimmung alle Kabinettswechsel und politischen Krisen der Dritten Republik überdauerte , in den Formen erstarrte , die das neunzehnte Jahrhundert ihm aufgeprägt hatte , und sich niemals den politischen Bedingungen des zwanzigsten anpaßte .	kern	Arendt, Hannah	Elemente und Ursprünge totaler Herrschaft	Wissenschaft	Arendt, Hannah: Elemente und Ursprünge totaler Herrschaft, Frankfurt a. M.: Europäische Verl.-Anst. 1957 [1955], S. #page#	1955-12-31
empfand	Tiefste Fremdheit empfand sie gegenüber Menschen , die ungewaschen waren .	kern	Brussig, Thomas	Helden wie wir	Belletristik::Roman	Brussig, Thomas: Helden wie wir, Berlin: Verl. Volk und Welt 1996 [1995], S. #page#	1995-12-31
steht	"Die vorliegende Staatslehre dagegen steht in ihrer Fragestellung viel näher der "" Politik "" im Sinne der Dahlmann , Waitz und Droysen oder Mohls "" Enzyklopädie der Staatswissenschaften "" , diesem letzten akademischen Versuch , den Staat aus umfassenden Zusammenhängen zu verstehen ."	kern	Heller, Hermann	Staatslehre	Wissenschaft	Heller, Hermann: Staatslehre, Leiden: Sijthoff 1934, S. #page#	1934-12-31
gehörte	Aber diese Prozesse hatten kaum mehr als eine symbolische Bedeutung , verglichen mit dem , was ihnen folgte oder sich auch gleichzeitig abspielte ; es gab kaum ein Büro oder eine Fabrik oder überhaupt eine Institution wirtschaftlicher oder kultureller Natur , keine staatliche oder militärische oder parteiamtliche Funktion , die nicht » gesäubert « wurde ; » nahezu die Hälfte des gesamten Verwaltungsapparats der Partei wie aller anderen Instanzen wurde auf die Straße gesetzt « , fünfzig Prozent aller Parteimitglieder und mindestens acht Millionen Menschen , die nicht Parteimitglieder waren , wurden liquidiert - das heißt entweder in die Konzentrationslager abgeschleppt oder direkt erschossen . Auch dieser Prozeß endete mit der Einführung eines neuen zwangsweisen Identitätsausweises , auf dem alle Reisen vermerkt , der bei allen Eingaben oder Bewerbungen vorzuweisen war ; was ihren juridischen Status anlangte , war nun die Bürokratie , inklusive der Parteibeamtenschaft , der Arbeiterschaft gleichgestellt ; auch sie gehörte nun in das ungeheure Heer der russischen Zwangsarbeiter , mit ihrem Status als einer bevorrechteten Klasse in der Sowjetgesellschaft war es vorbei .	kern	Arendt, Hannah	Elemente und Ursprünge totaler Herrschaft	Wissenschaft	Arendt, Hannah: Elemente und Ursprünge totaler Herrschaft, Frankfurt a. M.: Europäische Verl.-Anst. 1957 [1955], S. #page#	1955-12-31
befragt	Durch unsere Analysen und Synthesen wird die Natur nicht nur befragt oder überredet , sondern bezwungen .	kern	Spengler, Oswald	Der Untergang des Abendlandes	Wissenschaft	Spengler, Oswald: Der Untergang des Abendlandes, München: Beck 1929 [1918], S. #page#	1918-12-31
Ausgeschlossen	» Ausgeschlossen .	kern	Dohm, Hedwig	Christa Ruland	Belletristik	Dohm, Hedwig: Christa Ruland. In: Deutsche Literatur von Frauen, Berlin: Directmedia Publ. 2001 [1902], S. #page#	1902-12-31
bringt	Da Kokos Arme recht schwach sind , gelingt es ihm nicht , mit dem Stab das Ziel herunterzuschlagen ; deshalb geht er nach einer Weile mit dem Stock auf die Kiste los , greift sorgfältig mit der Spitze des Stabes in die ( nach oben offene ) Kiste hinein , wirft sie nach sich zu um , so daß er nun mit den Fingerspitzen ankommt , zieht sie heran , bringt sie unter das Ziel usw .	kern	Köhler, Wolfgang	Intelligenzprüfungen an Anthropoiden I	Wissenschaft	Köhler, Wolfgang: Intelligenzprüfungen an Menschenaffen, Berlin: Springer 1963 [1917], S. #page#	1917-12-31
ließ	Ein Schäfer redete nicht viel , ließ sich Zeit und sah genau hin .	kern	Nadolny, Sten	Selim oder Die Gabe der Rede	Belletristik::Roman	Nadolny, Sten: Selim oder Die Gabe der Rede, München: Piper 1997 [1990], S. #page#	1990-12-31
sagte	» Feed me « , sagte der Müllschlucker .	kern	unknown	Tag eines Handlungsreisenden	Zeitung::Story	C't, 1999, Nr. 8	1999-12-31
riefen	Also riefen die Unsichtbaren .	kern	Scheerbart, Paul	Immer mutig!	Belletristik	Scheerbart, Paul: Immer mutig! In: Deutsche Literatur von Lessing bis Kafka, Berlin: Directmedia Publ. 2000 [1902], S. #page#	1902-12-31
gelöst	Daher die Ostentation der Faktur , die , bei Calderon zumal , hervorbricht wie die aufgemauerte Wand am Gebäude , dessen Verputz sich gelöst hat .	kern	Benjamin, Walter	Ursprung des deutschen Trauerspiels	Wissenschaft	Benjamin, Walter: Ursprung des deutschen Trauerspiels. In: Tiedemann, Rolf u. Schweppenhäuser, Hermann (Hgg.) Gesammelte Schriften, Bd. 1,1, Frankfurt a. M.: Suhrkamp 1980 [1928], S. #page#	1928-12-31
anließen	Er sprach von einem leidigen Zwischenfall , von Befürchtungen , die sich bewahrheitet hätten , von der ärztlicherseits erklärten Notwendigkeit , einen Teil des Winters , vielleicht den ganzen hier oben zu verbringen , denn Fälle wie der seinige seien oft hartnäckiger als solche , die sich pompöser anließen , und es gelte doch , nachdrücklich einzugreifen und beizeiten ein für allemal vorzubauen .	kern	Mann, Thomas	Der Zauberberg	Belletristik::Roman	Mann, Thomas: Der Zauberberg, Gütersloh: Bertelsmann 1998 [1924], S. #page#	1924-12-31
gepackt	Die Flaksplitter hatte ich numeriert und in Watte gepackt .	kern	Kempowski, Walter	Tadellöser & Wolff	Belletristik::Roman	Kempowski, Walter: Tadellöser & Wolff, München: Hanser 1971 [1971], S. #page#	1971-12-31
treffen	Die Rechtsverordnungen im Sinne des Absatzes 2 können insbesondere Bestimmungen treffen über	kern	not specified	Gesetz zur Verhütung und Bekämpfung übertragbarer Krankheiten beim Menschen (Bundes-Seuchengesetz)	Gebrauchsliteratur::Recht::Verwaltungsgesetze	o. A.: Gesetz zur Verhütung und Bekämpfung übertragbarer Krankheiten beim Menschen (Bundes-Seuchengesetz). In: Sartorius 1: Verfassungs- und Verwaltungsgesetze der Bundesrepublik Deutschland, München: Beck 1998	1998-02-01
hörten	Zuerst nur so laut , als wolle ich bloß Anna was erzählen , aber da Anna immer noch im Mittelpunkt war , hörten bald alle zu , das sah ich , spürte ich , jetzt entweder verstummen oder die Aufmerksamkeit aller beanspruchen , und ich wagte es und erzählte , wie Guido den Grünfinken Viktor umgebracht hatte .	kern	Walser, Martin	Halbzeit	Belletristik::Roman	Walser, Martin: Halbzeit, Frankfurt a. M.: Suhrkamp 1997 [1960], S. #page#	1960-12-31
schreiben	"So kann man richtig sparen ߪ . . einfach an die Quelle schreiben : """	kern	unknown		Gebrauchsliteratur::Zeitung	NS-Frauen-Warte, 1939	1939-01-31
liege	Als wir nachher in einigermaßen guter Deckung sind , erzählt einer von den Essenholern , daß ein paar hundert Schritte entfernt ein verwundeter Meldehund liege .	kern	Remarque, Erich Maria	Im Westen nichts Neues	Belletristik::Roman	Remarque, Erich Maria: Im Westen nichts Neues, Berlin: Propyläen 1929, S. #page#	1929-12-31
ausgehalten	Wir haben bei ziemlich eifriger Arbeit vier ganze Tage ohne Wasser ausgehalten , wenn man den Tag der Landung nicht mitrechnet und das ist eine Sache .	kern	Grimm, Hans	Volk ohne Raum	Belletristik::Roman	Grimm, Hans: Volk ohne Raum, München: Langen 1932 [1926], S. #page#	1926-12-31
vereinigen	Da die Kultur einem inneren erotischen Antrieb gehorcht , der sie die Menschen zu einer innig verbundenen Masse vereinigen heißt , kann sie dies Ziel nur auf dem Wege einer immer wachsenden Verstärkung des Schuldgefühls erreichen .	kern	Freud, Sigmund	Das Unbehagen in der Kultur	Wissenschaft	Freud, Sigmund: Das Unbehagen in der Kultur, Wien: Internat. Psychoanalyt. Verl. 1930, S. #page#	1930-12-31
fortgesetzt	Die Beratungen werden fortgesetzt . ( L. B. 645 G. )	kern	unknown	Banken, Reorganisation.	Zeitung::DEUTSCHLAND.	Archiv der Gegenwart, 2001 [1933]	1933-02-07
